Date,Open,High,Low,Close,Volume,RT
8/14/26,733.41,734.39,728.32,731.07,23485288,1.18
8/17/26,732.95,734.58,729.27,729.87,26102182,1.18
8/18/26,720.21,722.13,715.92,717.51,48164968,1.13
8/19/26,720.39,721.5,712.61,716.08,34834540,1.12
8/20/26,712.09,714.94,708.52,710.93,32876360,1.09
8/21/26,715.23,715.674,709.2,713.44,33084596,1.11
8/24/26,709.66,709.79,702.7,706.32,36442732,1.08
8/25/26,711.22,714.04,707.45,710.72,23082430,1.11
8/26/26,708.41,713.02,707.97,711.37,18632278,1.11
8/27/26,716.98,721.35,714.525,721.2,26321400,1.16
